,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
0,Jay Lockhart,363000,Demons,DE,18,Hawks,61.5,R:18_P:Jay Lockhart,R:18_P:Jay Lockhart_DE,1
1,Neville Jetta,285000,Demons,DE,9,Blues,28.181818181818183,R:9_P:Neville Jetta,R:9_P:Neville Jetta_DE,1
2,Neville Jetta,285000,Demons,DE,12,Lions,32.27272727272727,R:12_P:Neville Jetta,R:12_P:Neville Jetta_DE,1
3,Neville Jetta,285000,Demons,DE,13,Magpies,30.727272727272727,R:13_P:Neville Jetta,R:13_P:Neville Jetta_DE,1
4,Neville Jetta,285000,Demons,DE,22,Crows,32.90909090909091,R:22_P:Neville Jetta,R:22_P:Neville Jetta_DE,1
5,Neville Jetta,285000,Demons,DE,15,Bombers,35.18181818181818,R:15_P:Neville Jetta,R:15_P:Neville Jetta_DE,1
6,Neville Jetta,285000,Demons,DE,17,Power,35.36363636363637,R:17_P:Neville Jetta,R:17_P:Neville Jetta_DE,1
7,Bayley Fritsch,553000,Demons,FO,8,Swans,69.0,R:8_P:Bayley Fritsch,R:8_P:Bayley Fritsch_FO,1
8,Bayley Fritsch,553000,Demons,FO,9,Blues,71.0,R:9_P:Bayley Fritsch,R:9_P:Bayley Fritsch_FO,1
9,Bayley Fritsch,553000,Demons,FO,12,Lions,63.0,R:12_P:Bayley Fritsch,R:12_P:Bayley Fritsch_FO,1
10,Bayley Fritsch,553000,Demons,FO,13,Magpies,90.0,R:13_P:Bayley Fritsch,R:13_P:Bayley Fritsch_FO,1
11,Bayley Fritsch,553000,Demons,FO,7,Kangaroos,91.66666666666667,R:7_P:Bayley Fritsch,R:7_P:Bayley Fritsch_FO,1
12,Bayley Fritsch,553000,Demons,FO,10,Crows,69.33333333333333,R:10_P:Bayley Fritsch,R:10_P:Bayley Fritsch_FO,1
13,Bayley Fritsch,553000,Demons,FO,15,Bombers,97.33333333333333,R:15_P:Bayley Fritsch,R:15_P:Bayley Fritsch_FO,1
14,Nathan Jones,528000,Demons,MI,4,Cats,75.0,R:4_P:Nathan Jones,R:4_P:Nathan Jones_MI,1
15,Nathan Jones,528000,Demons,MI,6,Tigers,67.54545454545455,R:6_P:Nathan Jones,R:6_P:Nathan Jones_MI,1
16,Nathan Jones,528000,Demons,MI,8,Swans,77.36363636363636,R:8_P:Nathan Jones,R:8_P:Nathan Jones_MI,1
17,Nathan Jones,528000,Demons,MI,9,Blues,82.45454545454545,R:9_P:Nathan Jones,R:9_P:Nathan Jones_MI,1
18,Nathan Jones,528000,Demons,MI,12,Lions,89.9090909090909,R:12_P:Nathan Jones,R:12_P:Nathan Jones_MI,1
19,Nathan Jones,528000,Demons,MI,13,Magpies,77.18181818181819,R:13_P:Nathan Jones,R:13_P:Nathan Jones_MI,1
