,Name,Price,Team 1,Position,Round,Team 2,Date,Score,id,pl_pos_id,is_selected
0,Jay Lockhart,363000,Demons,DE,18,Hawks,Sat 17 Jul 12:00pm,61.5,R:18_P:Jay Lockhart,R:18_P:Jay Lockhart_DE,1
1,Neville Jetta,285000,Demons,DE,1,Dockers,Sat 20 Mar 1:45pm,24.363636363636363,R:1_P:Neville Jetta,R:1_P:Neville Jetta_DE,1
2,Neville Jetta,285000,Demons,DE,4,Cats,Sun 11 Apr 3:20pm,21.181818181818183,R:4_P:Neville Jetta,R:4_P:Neville Jetta_DE,1
3,Neville Jetta,285000,Demons,DE,6,Tigers,Sat 24 Apr 7:25pm,22.454545454545453,R:6_P:Neville Jetta,R:6_P:Neville Jetta_DE,1
4,Neville Jetta,285000,Demons,DE,8,Swans,Sat 8 May 12:00pm,27.727272727272727,R:8_P:Neville Jetta,R:8_P:Neville Jetta_DE,1
5,Neville Jetta,285000,Demons,DE,9,Blues,Sat 15 May 12:00pm,28.181818181818183,R:9_P:Neville Jetta,R:9_P:Neville Jetta_DE,1
6,Neville Jetta,285000,Demons,DE,12,Lions,Sat 5 Jun 12:00pm,32.27272727272727,R:12_P:Neville Jetta,R:12_P:Neville Jetta_DE,1
7,Neville Jetta,285000,Demons,DE,13,Magpies,Sat 12 Jun 12:00pm,30.727272727272727,R:13_P:Neville Jetta,R:13_P:Neville Jetta_DE,1
8,Neville Jetta,285000,Demons,DE,16,Giants,Sat 3 Jul 12:00pm,35.54545454545455,R:16_P:Neville Jetta,R:16_P:Neville Jetta_DE,1
9,Neville Jetta,285000,Demons,DE,18,Hawks,Sat 17 Jul 12:00pm,23.818181818181817,R:18_P:Neville Jetta,R:18_P:Neville Jetta_DE,1
10,Neville Jetta,285000,Demons,DE,20,Bulldogs,Sat 31 Jul 12:00pm,17.272727272727273,R:20_P:Neville Jetta,R:20_P:Neville Jetta_DE,1
11,Neville Jetta,285000,Demons,DE,22,Crows,Sat 14 Aug 12:00pm,32.90909090909091,R:22_P:Neville Jetta,R:22_P:Neville Jetta_DE,1
12,Neville Jetta,285000,Demons,DE,2,Saints,Sat 27 Mar 7:25pm,18.454545454545453,R:2_P:Neville Jetta,R:2_P:Neville Jetta_DE,1
13,Neville Jetta,285000,Demons,DE,3,Giants,Sun 4 Apr 6:10pm,35.54545454545455,R:3_P:Neville Jetta,R:3_P:Neville Jetta_DE,1
14,Neville Jetta,285000,Demons,DE,5,Hawks,Sun 18 Apr 3:20pm,23.818181818181817,R:5_P:Neville Jetta,R:5_P:Neville Jetta_DE,1
15,Neville Jetta,285000,Demons,DE,7,Kangaroos,Sat 1 May 12:00pm,38.90909090909091,R:7_P:Neville Jetta,R:7_P:Neville Jetta_DE,1
16,Neville Jetta,285000,Demons,DE,10,Crows,Sat 22 May 12:00pm,32.90909090909091,R:10_P:Neville Jetta,R:10_P:Neville Jetta_DE,1
17,Neville Jetta,285000,Demons,DE,11,Bulldogs,Sat 29 May 12:00pm,17.272727272727273,R:11_P:Neville Jetta,R:11_P:Neville Jetta_DE,1
18,Neville Jetta,285000,Demons,DE,15,Bombers,Sat 26 Jun 12:00pm,35.18181818181818,R:15_P:Neville Jetta,R:15_P:Neville Jetta_DE,1
19,Neville Jetta,285000,Demons,DE,17,Power,Sat 10 Jul 12:00pm,35.36363636363637,R:17_P:Neville Jetta,R:17_P:Neville Jetta_DE,1
20,Neville Jetta,285000,Demons,DE,19,Suns,Sat 24 Jul 12:00pm,17.363636363636363,R:19_P:Neville Jetta,R:19_P:Neville Jetta_DE,1
21,Neville Jetta,285000,Demons,DE,21,Eagles,Sat 7 Aug 12:00pm,30.333333333333332,R:21_P:Neville Jetta,R:21_P:Neville Jetta_DE,1
22,Neville Jetta,285000,Demons,DE,23,Cats,Sat 21 Aug 12:00pm,21.181818181818183,R:23_P:Neville Jetta,R:23_P:Neville Jetta_DE,1
23,Bayley Fritsch,553000,Demons,FO,8,Swans,Sat 8 May 12:00pm,69.0,R:8_P:Bayley Fritsch,R:8_P:Bayley Fritsch_FO,1
24,Bayley Fritsch,553000,Demons,FO,9,Blues,Sat 15 May 12:00pm,71.0,R:9_P:Bayley Fritsch,R:9_P:Bayley Fritsch_FO,1
25,Bayley Fritsch,553000,Demons,FO,12,Lions,Sat 5 Jun 12:00pm,63.0,R:12_P:Bayley Fritsch,R:12_P:Bayley Fritsch_FO,1
