,id,pl_pos_id,Round,Position,is_selected
0,R:1_P:Max Gawn,R:1_P:Max Gawn_RU,1,RU,1
1,R:4_P:Max Gawn,R:4_P:Max Gawn_RU,4,RU,1
2,R:23_P:Max Gawn,R:23_P:Max Gawn_RU,23,RU,1
3,R:6_P:Max Gawn,R:6_P:Max Gawn_RU,6,RU,1
4,R:8_P:Max Gawn,R:8_P:Max Gawn_RU,8,RU,1
5,R:9_P:Max Gawn,R:9_P:Max Gawn_RU,9,RU,1
6,R:12_P:Max Gawn,R:12_P:Max Gawn_RU,12,RU,1
7,R:13_P:Max Gawn,R:13_P:Max Gawn_RU,13,RU,1
8,R:16_P:Max Gawn,R:16_P:Max Gawn_RU,16,RU,1
9,R:3_P:Max Gawn,R:3_P:Max Gawn_RU,3,RU,1
10,R:18_P:Max Gawn,R:18_P:Max Gawn_RU,18,RU,1
11,R:5_P:Max Gawn,R:5_P:Max Gawn_RU,5,RU,1
12,R:20_P:Max Gawn,R:20_P:Max Gawn_RU,20,RU,1
13,R:11_P:Max Gawn,R:11_P:Max Gawn_RU,11,RU,1
14,R:22_P:Max Gawn,R:22_P:Max Gawn_RU,22,RU,1
15,R:10_P:Max Gawn,R:10_P:Max Gawn_RU,10,RU,1
16,R:2_P:Max Gawn,R:2_P:Max Gawn_RU,2,RU,1
17,R:7_P:Max Gawn,R:7_P:Max Gawn_RU,7,RU,1
18,R:15_P:Max Gawn,R:15_P:Max Gawn_RU,15,RU,1
19,R:17_P:Max Gawn,R:17_P:Max Gawn_RU,17,RU,1
20,R:19_P:Max Gawn,R:19_P:Max Gawn_RU,19,RU,1
21,R:21_P:Max Gawn,R:21_P:Max Gawn_RU,21,RU,1
22,R:1_P:Braydon Preuss,R:1_P:Braydon Preuss_RU,1,RU,1
23,R:4_P:Braydon Preuss,R:4_P:Braydon Preuss_RU,4,RU,1
24,R:23_P:Braydon Preuss,R:23_P:Braydon Preuss_RU,23,RU,1
25,R:6_P:Braydon Preuss,R:6_P:Braydon Preuss_RU,6,RU,1
26,R:8_P:Braydon Preuss,R:8_P:Braydon Preuss_RU,8,RU,1
27,R:9_P:Braydon Preuss,R:9_P:Braydon Preuss_RU,9,RU,1
28,R:12_P:Braydon Preuss,R:12_P:Braydon Preuss_RU,12,RU,1
29,R:13_P:Braydon Preuss,R:13_P:Braydon Preuss_RU,13,RU,1
30,R:16_P:Braydon Preuss,R:16_P:Braydon Preuss_RU,16,RU,1
31,R:3_P:Braydon Preuss,R:3_P:Braydon Preuss_RU,3,RU,1
32,R:18_P:Braydon Preuss,R:18_P:Braydon Preuss_RU,18,RU,1
33,R:5_P:Braydon Preuss,R:5_P:Braydon Preuss_RU,5,RU,1
34,R:20_P:Braydon Preuss,R:20_P:Braydon Preuss_RU,20,RU,1
35,R:11_P:Braydon Preuss,R:11_P:Braydon Preuss_RU,11,RU,1
36,R:22_P:Braydon Preuss,R:22_P:Braydon Preuss_RU,22,RU,1
37,R:10_P:Braydon Preuss,R:10_P:Braydon Preuss_RU,10,RU,1
38,R:2_P:Braydon Preuss,R:2_P:Braydon Preuss_RU,2,RU,1
39,R:7_P:Braydon Preuss,R:7_P:Braydon Preuss_RU,7,RU,1
40,R:15_P:Braydon Preuss,R:15_P:Braydon Preuss_RU,15,RU,1
41,R:17_P:Braydon Preuss,R:17_P:Braydon Preuss_RU,17,RU,1
42,R:19_P:Braydon Preuss,R:19_P:Braydon Preuss_RU,19,RU,1
43,R:21_P:Braydon Preuss,R:21_P:Braydon Preuss_RU,21,RU,1
44,R:1_P:Christian Salem,R:1_P:Christian Salem_DE,1,DE,1
45,R:4_P:Christian Salem,R:4_P:Christian Salem_DE,4,DE,1
46,R:23_P:Christian Salem,R:23_P:Christian Salem_DE,23,DE,1
47,R:6_P:Christian Salem,R:6_P:Christian Salem_DE,6,DE,1
48,R:8_P:Christian Salem,R:8_P:Christian Salem_DE,8,DE,1
49,R:9_P:Christian Salem,R:9_P:Christian Salem_DE,9,DE,1
50,R:12_P:Christian Salem,R:12_P:Christian Salem_DE,12,DE,1
51,R:13_P:Christian Salem,R:13_P:Christian Salem_DE,13,DE,1
52,R:16_P:Christian Salem,R:16_P:Christian Salem_DE,16,DE,1
53,R:3_P:Christian Salem,R:3_P:Christian Salem_DE,3,DE,1
54,R:18_P:Christian Salem,R:18_P:Christian Salem_DE,18,DE,1
55,R:5_P:Christian Salem,R:5_P:Christian Salem_DE,5,DE,1
56,R:20_P:Christian Salem,R:20_P:Christian Salem_DE,20,DE,1
57,R:11_P:Christian Salem,R:11_P:Christian Salem_DE,11,DE,1
58,R:22_P:Christian Salem,R:22_P:Christian Salem_DE,22,DE,1
59,R:10_P:Christian Salem,R:10_P:Christian Salem_DE,10,DE,1
60,R:2_P:Christian Salem,R:2_P:Christian Salem_DE,2,DE,1
61,R:7_P:Christian Salem,R:7_P:Christian Salem_DE,7,DE,1
62,R:15_P:Christian Salem,R:15_P:Christian Salem_DE,15,DE,1
63,R:17_P:Christian Salem,R:17_P:Christian Salem_DE,17,DE,1
64,R:19_P:Christian Salem,R:19_P:Christian Salem_DE,19,DE,1
65,R:21_P:Christian Salem,R:21_P:Christian Salem_DE,21,DE,1
66,R:1_P:Steven May,R:1_P:Steven May_DE,1,DE,1
67,R:4_P:Steven May,R:4_P:Steven May_DE,4,DE,1
68,R:23_P:Steven May,R:23_P:Steven May_DE,23,DE,1
69,R:6_P:Steven May,R:6_P:Steven May_DE,6,DE,1
70,R:8_P:Steven May,R:8_P:Steven May_DE,8,DE,1
71,R:9_P:Steven May,R:9_P:Steven May_DE,9,DE,1
72,R:12_P:Steven May,R:12_P:Steven May_DE,12,DE,1
73,R:13_P:Steven May,R:13_P:Steven May_DE,13,DE,1
74,R:16_P:Steven May,R:16_P:Steven May_DE,16,DE,1
75,R:3_P:Steven May,R:3_P:Steven May_DE,3,DE,1
76,R:18_P:Steven May,R:18_P:Steven May_DE,18,DE,1
77,R:5_P:Steven May,R:5_P:Steven May_DE,5,DE,1
78,R:20_P:Steven May,R:20_P:Steven May_DE,20,DE,1
79,R:11_P:Steven May,R:11_P:Steven May_DE,11,DE,1
80,R:22_P:Steven May,R:22_P:Steven May_DE,22,DE,1
81,R:10_P:Steven May,R:10_P:Steven May_DE,10,DE,1
82,R:2_P:Steven May,R:2_P:Steven May_DE,2,DE,1
83,R:7_P:Steven May,R:7_P:Steven May_DE,7,DE,1
84,R:15_P:Steven May,R:15_P:Steven May_DE,15,DE,1
85,R:17_P:Steven May,R:17_P:Steven May_DE,17,DE,1
86,R:19_P:Steven May,R:19_P:Steven May_DE,19,DE,1
87,R:21_P:Steven May,R:21_P:Steven May_DE,21,DE,1
88,R:1_P:Michael Hibberd,R:1_P:Michael Hibberd_DE,1,DE,1
89,R:4_P:Michael Hibberd,R:4_P:Michael Hibberd_DE,4,DE,1
90,R:23_P:Michael Hibberd,R:23_P:Michael Hibberd_DE,23,DE,1
91,R:6_P:Michael Hibberd,R:6_P:Michael Hibberd_DE,6,DE,1
92,R:8_P:Michael Hibberd,R:8_P:Michael Hibberd_DE,8,DE,1
93,R:9_P:Michael Hibberd,R:9_P:Michael Hibberd_DE,9,DE,1
94,R:12_P:Michael Hibberd,R:12_P:Michael Hibberd_DE,12,DE,1
95,R:13_P:Michael Hibberd,R:13_P:Michael Hibberd_DE,13,DE,1
96,R:16_P:Michael Hibberd,R:16_P:Michael Hibberd_DE,16,DE,1
97,R:3_P:Michael Hibberd,R:3_P:Michael Hibberd_DE,3,DE,1
98,R:18_P:Michael Hibberd,R:18_P:Michael Hibberd_DE,18,DE,1
99,R:5_P:Michael Hibberd,R:5_P:Michael Hibberd_DE,5,DE,1
100,R:20_P:Michael Hibberd,R:20_P:Michael Hibberd_DE,20,DE,1
101,R:11_P:Michael Hibberd,R:11_P:Michael Hibberd_DE,11,DE,1
102,R:22_P:Michael Hibberd,R:22_P:Michael Hibberd_DE,22,DE,1
103,R:10_P:Michael Hibberd,R:10_P:Michael Hibberd_DE,10,DE,1
104,R:2_P:Michael Hibberd,R:2_P:Michael Hibberd_DE,2,DE,1
105,R:7_P:Michael Hibberd,R:7_P:Michael Hibberd_DE,7,DE,1
106,R:15_P:Michael Hibberd,R:15_P:Michael Hibberd_DE,15,DE,1
107,R:17_P:Michael Hibberd,R:17_P:Michael Hibberd_DE,17,DE,1
108,R:19_P:Michael Hibberd,R:19_P:Michael Hibberd_DE,19,DE,1
109,R:21_P:Michael Hibberd,R:21_P:Michael Hibberd_DE,21,DE,1
110,R:1_P:Trent Rivers,R:1_P:Trent Rivers_DE,1,DE,1
111,R:4_P:Trent Rivers,R:4_P:Trent Rivers_DE,4,DE,1
112,R:23_P:Trent Rivers,R:23_P:Trent Rivers_DE,23,DE,1
113,R:6_P:Trent Rivers,R:6_P:Trent Rivers_DE,6,DE,1
114,R:8_P:Trent Rivers,R:8_P:Trent Rivers_DE,8,DE,1
115,R:9_P:Trent Rivers,R:9_P:Trent Rivers_DE,9,DE,1
116,R:12_P:Trent Rivers,R:12_P:Trent Rivers_DE,12,DE,1
117,R:13_P:Trent Rivers,R:13_P:Trent Rivers_DE,13,DE,1
118,R:16_P:Trent Rivers,R:16_P:Trent Rivers_DE,16,DE,1
119,R:3_P:Trent Rivers,R:3_P:Trent Rivers_DE,3,DE,1
120,R:18_P:Trent Rivers,R:18_P:Trent Rivers_DE,18,DE,1
121,R:5_P:Trent Rivers,R:5_P:Trent Rivers_DE,5,DE,1
122,R:20_P:Trent Rivers,R:20_P:Trent Rivers_DE,20,DE,1
123,R:11_P:Trent Rivers,R:11_P:Trent Rivers_DE,11,DE,1
124,R:22_P:Trent Rivers,R:22_P:Trent Rivers_DE,22,DE,1
125,R:10_P:Trent Rivers,R:10_P:Trent Rivers_DE,10,DE,1
126,R:2_P:Trent Rivers,R:2_P:Trent Rivers_DE,2,DE,1
127,R:7_P:Trent Rivers,R:7_P:Trent Rivers_DE,7,DE,1
128,R:15_P:Trent Rivers,R:15_P:Trent Rivers_DE,15,DE,1
129,R:17_P:Trent Rivers,R:17_P:Trent Rivers_DE,17,DE,1
130,R:19_P:Trent Rivers,R:19_P:Trent Rivers_DE,19,DE,1
131,R:21_P:Trent Rivers,R:21_P:Trent Rivers_DE,21,DE,1
132,R:1_P:Adam Tomlinson,R:1_P:Adam Tomlinson_DE,1,DE,1
133,R:1_P:Adam Tomlinson,R:1_P:Adam Tomlinson_MI,1,MI,1
134,R:4_P:Adam Tomlinson,R:4_P:Adam Tomlinson_DE,4,DE,1
135,R:23_P:Adam Tomlinson,R:23_P:Adam Tomlinson_DE,23,DE,1
136,R:4_P:Adam Tomlinson,R:4_P:Adam Tomlinson_MI,4,MI,1
137,R:23_P:Adam Tomlinson,R:23_P:Adam Tomlinson_MI,23,MI,1
138,R:6_P:Adam Tomlinson,R:6_P:Adam Tomlinson_DE,6,DE,1
139,R:6_P:Adam Tomlinson,R:6_P:Adam Tomlinson_MI,6,MI,1
140,R:8_P:Adam Tomlinson,R:8_P:Adam Tomlinson_DE,8,DE,1
141,R:8_P:Adam Tomlinson,R:8_P:Adam Tomlinson_MI,8,MI,1
142,R:9_P:Adam Tomlinson,R:9_P:Adam Tomlinson_DE,9,DE,1
143,R:9_P:Adam Tomlinson,R:9_P:Adam Tomlinson_MI,9,MI,1
144,R:12_P:Adam Tomlinson,R:12_P:Adam Tomlinson_DE,12,DE,1
145,R:12_P:Adam Tomlinson,R:12_P:Adam Tomlinson_MI,12,MI,1
146,R:13_P:Adam Tomlinson,R:13_P:Adam Tomlinson_DE,13,DE,1
147,R:13_P:Adam Tomlinson,R:13_P:Adam Tomlinson_MI,13,MI,1
148,R:16_P:Adam Tomlinson,R:16_P:Adam Tomlinson_DE,16,DE,1
149,R:3_P:Adam Tomlinson,R:3_P:Adam Tomlinson_DE,3,DE,1
150,R:16_P:Adam Tomlinson,R:16_P:Adam Tomlinson_MI,16,MI,1
151,R:3_P:Adam Tomlinson,R:3_P:Adam Tomlinson_MI,3,MI,1
152,R:18_P:Adam Tomlinson,R:18_P:Adam Tomlinson_DE,18,DE,1
153,R:5_P:Adam Tomlinson,R:5_P:Adam Tomlinson_DE,5,DE,1
154,R:18_P:Adam Tomlinson,R:18_P:Adam Tomlinson_MI,18,MI,1
155,R:5_P:Adam Tomlinson,R:5_P:Adam Tomlinson_MI,5,MI,1
156,R:20_P:Adam Tomlinson,R:20_P:Adam Tomlinson_DE,20,DE,1
157,R:11_P:Adam Tomlinson,R:11_P:Adam Tomlinson_DE,11,DE,1
158,R:20_P:Adam Tomlinson,R:20_P:Adam Tomlinson_MI,20,MI,1
159,R:11_P:Adam Tomlinson,R:11_P:Adam Tomlinson_MI,11,MI,1
160,R:22_P:Adam Tomlinson,R:22_P:Adam Tomlinson_DE,22,DE,1
161,R:10_P:Adam Tomlinson,R:10_P:Adam Tomlinson_DE,10,DE,1
162,R:22_P:Adam Tomlinson,R:22_P:Adam Tomlinson_MI,22,MI,1
163,R:10_P:Adam Tomlinson,R:10_P:Adam Tomlinson_MI,10,MI,1
164,R:2_P:Adam Tomlinson,R:2_P:Adam Tomlinson_DE,2,DE,1
